,0,1,2,3,4,5,6,7
27,11, KAR-030,15, 20:35:20,80, s5, 20160316-000007_10_S15,5
28,2, KAR-028,1, 21:49:29,96, s2, 20160316-000007_01_S1,2
29,11, KAR-030,16, 22:00:26,38, s5, 20160316-000007_10_S16,5
0,12, KAR-034,1, 00:14:12,59, s5, 20160316-000008_11_S1,5
1,11, KAR-021,1, 02:09:42,63, s4, 20160316-000008_10_S1,4
2,11, KAR-021,2, 05:33:39,109, s1, 20160316-000008_10_S2,1
3,6, KAR-025,1, 06:21:45,74, s5, 20160316-000008_05_S1,5
4,2, KAR-022,1, 06:26:13,117, s5, 20160316-000008_01_S1,5
5,11, KAR-021,3, 11:00:48,51, s4, 20160316-000008_10_S3,4
6,12, KAR-034,2, 11:58:24,49, s5, 20160316-000008_11_S2,5
7,11, KAR-021,4, 15:16:51,69, s4, 20160316-000008_10_S4,4
8,12, KAR-034,3, 17:40:59,52, s5, 20160316-000008_11_S3,5
9,7, KAR-026,1, 17:44:44,46, s5, 20160316-000008_06_S1,5
10,7, KAR-026,2, 19:06:41,63, s5, 20160316-000008_06_S2,5
11,7, KAR-026,3, 20:39:59,52, s5, 20160316-000008_06_S3,5
12,7, KAR-026,4, 20:43:53,59, s4, 20160316-000008_06_S4,4
13,11, KAR-021,5, 22:04:36,45, s5, 20160316-000008_10_S5,5
14,7, KAR-026,5, 22:14:55,46, s5, 20160316-000008_06_S5,5
0,12, KAR-034,1, 02:01:34,75, s5, 20160317-000015_11_S1,5
1,12, KAR-034,2, 03:43:40,52, s5, 20160317-000015_11_S2,5
2,8, KAR-027,1, 04:22:42,76, s4, 20160317-000015_07_S1,4
3,12, KAR-034,3, 05:14:58,46, s5, 20160317-000015_11_S3,5
4,12, KAR-034,4, 06:49:40,49, s5, 20160317-000015_11_S4,5
5,7, KAR-026,1, 07:36:05,70, s3, 20160317-000015_06_S1,3
6,12, KAR-034,5, 08:09:27,52, s5, 20160317-000015_11_S5,5
7,12, KAR-034,6, 11:33:07,45, s5, 20160317-000015_11_S6,5
8,11, KAR-021,1, 11:49:40,54, s5, 20160317-000015_10_S1,5
9,7, KAR-026,2, 13:48:20,73, s4, 20160317-000015_06_S2,4
10,12, KAR-034,7, 14:16:32,36, s5, 20160317-000015_11_S7,5
11,12, KAR-034,8, 16:20:22,62, s5, 20160317-000015_11_S8,5
12,7, KAR-026,3, 17:05:22,66, s4, 20160317-000015_06_S3,4
13,12, KAR-034,9, 17:08:26,59, s5, 20160317-000015_11_S9,5
14,7, KAR-026,4, 19:17:20,80, s5, 20160317-000015_06_S4,5
15,7, KAR-026,5, 20:58:32,78, s5, 20160317-000015_06_S5,5
0,7, KAR-026,1, 02:27:05,73, s5, 20160318-000012_06_S1,5
1,12, KAR-034,1, 02:32:44,47, s5, 20160318-000012_11_S1,5
2,5, KAR-024,1, 03:12:46,81, s5, 20160318-000012_04_S1,5
3,12, KAR-034,2, 05:00:08,47, s5, 20160318-000012_11_S2,5
4,12, KAR-034,3, 06:35:10,48, s5, 20160318-000012_11_S3,5
5,12, KAR-034,4, 07:31:48,44, s5, 20160318-000012_11_S4,5
6,7, KAR-026,2, 07:31:33,89, s5, 20160318-000012_06_S2,5
7,12, KAR-034,5, 08:15:05,42, s5, 20160318-000012_11_S5,5
8,12, KAR-034,6, 08:53:44,40, s5, 20160318-000012_11_S6,5
9,12, KAR-034,7, 09:21:21,43, s5, 20160318-000012_11_S7,5
10,6, KAR-025,1, 11:54:55,54, s5, 20160318-000012_05_S1,5
11,12, KAR-034,8, 13:57:22,46, s5, 20160318-000012_11_S8,5
12,2, KAR-022,1, 15:33:24,99, s5, 20160318-000012_01_S1,5
13,2, KAR-022,2, 15:39:43,97, s5, 20160318-000012_01_S2,5
14,12, KAR-034,9, 16:50:43,55, s5, 20160318-000012_11_S9,5
15,7, KAR-026,3, 18:39:57,44, s5, 20160318-000012_06_S3,5
16,12, KAR-034,10, 19:45:11,44, s5, 20160318-000012_11_S10,5
17,7, KAR-026,4, 19:51:05,78, s5, 20160318-000012_06_S4,5
18,7, KAR-026,5, 21:44:43,71, s5, 20160318-000012_06_S5,5
19,7, KAR-026,8, 23:13:49,60, s2, 20160318-000012_06_S8,2
0,9, KAR-017,1, 00:50:19,95, Nonconvulsive, 20160318-092441_08_S1,0
1,9, KAR-017,2, 01:59:24,57, Nonconvulsive, 20160318-092441_08_S2,0
2,11, KAR-030,1, 03:52:19,42, s1, 20160318-092441_10_S1,1
3,9, KAR-017,3, 04:18:30,91, Nonconvulsive, 20160318-092441_08_S3,0
0,5, KAR-040,1, 07:23:45,43, s5 popcorn, 20160318-143027_04_S1,5
0,7, KAR-026,1, 02:56:48,72, s2, 20160319-000008_06_S1,2
1,7, KAR-026,2, 04:40:03,55, 1, 20160319-000008_06_S2,1
2,7, KAR-026,3, 05:51:29,70, s1, 20160319-000008_06_S3,1
3,7, KAR-026,4, 09:29:38,69, s4, 20160319-000008_06_S4,4
4,7, KAR-026,5, 13:27:32,64, s3, 20160319-000008_06_S5,3
5,5, KAR-024,1, 14:38:26,86, s5, 20160319-000008_04_S1,5
6,7, KAR-026,6, 15:27:10,54, s5, 20160319-000008_06_S6,5
7,12, KAR-034,1, 15:46:57,57, s4, 20160319-000008_11_S1,4
8,7, KAR-026,7, 17:08:07,74, s5, 20160319-000008_06_S7,5
9,7, KAR-026,8, 18:21:15,74, s5, 20160319-000008_06_S8,5
10,12, KAR-034,2, 18:29:54,51, s4, 20160319-000008_11_S2,4
11,7, KAR-026,9, 19:24:16,76, s5, 20160319-000008_06_S9,5
12,12, KAR-034,3, 20:26:39,54, s5, 20160319-000008_11_S3,5
13,7, KAR-026,10, 23:58:45,67, s3, 20160319-000008_06_S10,3
0,2, KAR-036,1, 05:58:26,54, s5, 20160319-000013_01_S1,5
1,2, KAR-036,2, 10:04:54,70, s5, 20160319-000013_01_S2,5
2,2, KAR-036,3, 11:25:25,50, s4, 20160319-000013_01_S3,4
0,7, KAR-026,1, 01:20:29,46, s4, 20160320-000015_06_S1,4
1,7, KAR-026,2, 02:52:29,52, s5, 20160320-000015_06_S2,5
2,7, KAR-026,3, 03:03:27,54, s4, 20160320-000015_06_S3,4
3,7, KAR-026,4, 03:28:58,70, s2, 20160320-000015_06_S4,2
4,7, KAR-026,5, 07:36:27,96, s4, 20160320-000015_06_S5,4
5,6, KAR-025,1, 11:41:08,50, s5, 20160320-000015_05_S1,5
6,2, KAR-022,1, 12:51:35,91, s5, 20160320-000015_01_S1,5
7,12, KAR-034,1, 14:45:08,63, s5, 20160320-000015_11_S1,5
8,7, KAR-026,6, 17:00:26,40, s5, 20160320-000015_06_S6,5
9,12, KAR-034,2, 18:14:31,67, s4, 20160320-000015_11_S2,4
10,12, KAR-034,3, 19:43:48,51, s4, 20160320-000015_11_S3,4
11,7, KAR-026,7, 20:05:42,61, s5, 20160320-000015_06_S7,5
12,7, KAR-026,8, 22:15:27,73, s5, 20160320-000015_06_S8,5
13,7, KAR-026,9, 23:45:21,77, s5, 20160320-000015_06_S9,5
0,11, KAR-021,1, 02:04:20,39, s3, 20160321-000013_10_S1,3
1,7, KAR-026,1, 03:15:57,65, s2, 20160321-000013_06_S1,2
2,7, KAR-026,2, 04:25:27,57, s2, 20160321-000013_06_S2,2
3,11, KAR-021,2, 04:36:47,80, s3, 20160321-000013_10_S2,3
4,11, KAR-021,3, 06:44:44,85, s3, 20160321-000013_10_S3,3
5,7, KAR-026,3, 08:41:00,80, s2, 20160321-000013_06_S3,2
6,7, KAR-026,4, 11:35:46,81, s5, 20160321-000013_06_S4,5
7,7, KAR-026,5, 13:33:29,69, s5, 20160321-000013_06_S5,5
8,12, KAR-034,1, 15:22:33,55, s3, 20160321-000013_11_S1,3
9,11, KAR-021,4, 16:20:12,46, s3, 20160321-000013_10_S4,3
10,12, KAR-034,2, 17:37:05,55, s4, 20160321-000013_11_S2,4
11,12, KAR-034,3, 19:47:01,53, s5, 20160321-000013_11_S3,5
12,12, KAR-034,4, 21:51:37,57, s5, 20160321-000013_11_S4,5
13,12, KAR-034,5, 12:09:08,98, s5, 20160321-000013_11_S5,5
0,12, KAR-034,1, 00:53:53,57, s5, 20160322-000011_11_S1,5
1,7, KAR-026,1, 00:55:09,72, s5, 20160322-000011_06_S1,5
2,7, KAR-026,2, 01:48:17,67, s3, 20160322-000011_06_S2,3
3,7, KAR-026,3, 03:02:17,53, s5, 20160322-000011_06_S3,5
4,7, KAR-026,4, 04:03:23,59, s3, 20160322-000011_06_S4,3
5,12, KAR-034,2, 05:11:19,61, s5, 20160322-000011_11_S2,5
6,7, KAR-026,5, 05:24:50,67, s2, 20160322-000011_06_S5,2
7,7, KAR-026,6, 06:22:27,78, s2, 20160322-000011_06_S6,2
8,7, KAR-026,7, 08:06:42,93, s5, 20160322-000011_06_S7,5
9,6, KAR-025,1, 09:03:37,65, s5, 20160322-000011_05_S1,5
10,7, KAR-026,8, 09:27:27,70, s2, 20160322-000011_06_S8,2
11,12, KAR-034,3, 09:37:55,63, s5, 20160322-000011_11_S3,5
12,11, KAR-021,1, 12:00:45,49, s4, 20160322-000011_10_S1,4
13,12, KAR-034,4, 13:00:33,58, s5, 20160322-000011_11_S4,5
14,7, KAR-026,9, 13:02:19,65, s5, 20160322-000011_06_S9,5
0,12, KAR-034,1, 01:16:19,70, s5, 20160322-131601_11_S1,5
1,12, KAR-034,2, 02:47:00,61, s5, 20160322-131601_11_S2,5
2,7, KAR-026,1, 04:32:05,54, s5, 20160322-131601_06_S1,5
3,12, KAR-034,3, 05:48:11,54, s5, 20160322-131601_11_S3,5
4,12, KAR-034,4, 07:00:14,61, s4, 20160322-131601_11_S4,4
5,2, KAR-022,1, 07:09:17,84, s4, 20160322-131601_01_S1,4
6,12, KAR-034,5, 08:01:06,65, s4, 20160322-131601_11_S5,4
7,7, KAR-026,2, 10:14:25,68, s1, 20160322-131601_06_S2,1
0,12, KAR-034,1, 00:09:08,71, s5 popcorn, 20160323-000006_11_S1,5
1,7, KAR-026,1, 00:39:41,79, s2, 20160323-000006_06_S1,2
2,7, KAR-026,2, 01:33:46,78, s2, 20160323-000006_06_S2,2
3,7, KAR-026,3, 08:45:36,86, s5, 20160323-000006_06_S3,5
4,7, KAR-026,5, 10:10:23,72, s5, 20160323-000006_06_S5,5
5,7, KAR-026,6, 13:23:37,81, s5, 20160323-000006_06_S6,5
0,8, KAR-027,1, 02:35:15,87, s5, 20160323-152828_07_S1,5
1,7, KAR-026,1, 03:15:23,76, s5, 20160323-152828_06_S1,5
2,7, KAR-026,2, 04:54:02,49, s5, 20160323-152828_06_S2,5
0,6, KAR-025,1, 00:38:27,81, s5, 20160324-000013_05_S1,5
1,5, KAR-024,1, 02:10:35,75, s5, 20160324-000013_04_S1,5
2,7, KAR-026,1, 02:17:57,50, s3, 20160324-000013_06_S1,3
3,7, KAR-026,2, 04:13:48,52, s3, 20160324-000013_06_S2,3
4,7, KAR-026,3, 06:22:40,54, s3, 20160324-000013_06_S3,3
5,7, KAR-026,4, 09:29:32,46, s3, 20160324-000013_06_S4,3
6,7, KAR-026,5, 10:53:45,62, s4, 20160324-000013_06_S5,4
7,6, KAR-025,2, 12:05:10,105, s5, 20160324-000013_05_S2,5
8,7, KAR-026,6, 14:30:59,49, s5, 20160324-000013_06_S6,5
9,5, KAR-024,2, 15:16:56,91, s5, 20160324-000013_04_S2,5
10,7, KAR-026,8, 15:31:50,59, s5, 20160324-000013_06_S8,5
11,7, KAR-026,9, 16:42:37,63, s5, 20160324-000013_06_S9,5
12,7, KAR-026,10, 17:58:03,50, s5, 20160324-000013_06_S10,5
13,2, KAR-022,1, 18:49:55,60, s5, 20160324-000013_01_S1,5
14,7, KAR-026,11, 19:36:22,46, s4, 20160324-000013_06_S11,4
15,7, KAR-026,12, 21:50:04,39, s5, 20160324-000013_06_S12,5
0,7, KAR-026,1, 00:14:00,51, s2, 20160325-000008_06_S1,2
1,7, KAR-026,2, 04:39:01,42, s5, 20160325-000008_06_S2,5
2,5, KAR-024,1, 06:08:29,116, s5, 20160325-000008_04_S1,5
3,7, KAR-026,3, 07:00:42,51, s3, 20160325-000008_06_S3,3
4,7, KAR-026,4, 08:28:12,50, s3, 20160325-000008_06_S4,3
5,7, KAR-026,5, 09:54:20,65, s4, 20160325-000008_06_S5,4
6,7, KAR-026,6, 12:43:10,58, s3, 20160325-000008_06_S6,3
0,8, KAR-028,1, 01:53:50,50, s3, 20160325-132024_07_S1,3
1,11, KAR-048,1, 02:54:30,98, s5, 20160325-132024_10_S1,5
2,2, KAR-017,1, 04:42:08,47, s3, 20160325-132024_01_S1,3
3,2, KAR-017,2, 06:39:59,45, s3, 20160325-132024_01_S2,3
4,2, KAR-017,3, 09:44:15,41, s3, 20160325-132024_01_S3,3
0,2, KAR-017,1, 01:59:55,50, s3 bad camera, 20160326-000014_01_S1,3
1,2, KAR-017,2, 06:55:47,53, s2, 20160326-000014_01_S2,2
2,2, KAR-017,3, 10:58:40,52, s3, 20160326-000014_01_S3,3
3,1, KAR-004,1, 12:15:26,46, s5, 20160326-000014_00_S1,5
4,2, KAR-017,4, 12:48:38,56, s3, 20160326-000014_01_S4,3
5,2, KAR-017,5, 13:48:37,63, s3, 20160326-000014_01_S5,3
6,2, KAR-017,6, 17:34:39,69, s3, 20160326-000014_01_S6,3
7,2, KAR-017,7, 22:44:06,78, s3 bad camera, 20160326-000014_01_S7,3
8,2, KAR-017,8, 23:05:56,42, unknown bad camera, 20160326-000014_01_S8,-1
0,2, KAR-017,1, 02:17:17,53, Bad Camera, 20160327-000008_01_S1,-1
1,12, KAR-023,1, 09:21:13,59, s5, 20160327-000008_11_S1,5
2,7, KAR-047,1, 11:16:06,60, s5, 20160327-000008_06_S1,5
3,2, KAR-017,2, 11:18:25,74, s3, 20160327-000008_01_S2,3
4,2, KAR-017,3, 13:04:02,76, s3, 20160327-000008_01_S3,3
5,8, KAR-028,1, 14:34:00,56, s3, 20160327-000008_07_S1,3
6,2, KAR-017,4, 16:50:41,53, s3, 20160327-000008_01_S4,3
7,2, KAR-017,5, 23:14:18,87, Bad Camera, 20160327-000008_01_S5,-1
0,2, KAR-017,1, 02:56:44,44, Bad Camera, 20160328-000013_01_S1,-1
1,2, KAR-017,2, 04:44:37,48, bad camera, 20160328-000013_01_S2,-1
2,2, KAR-017,3, 06:32:57,80, s3, 20160328-000013_01_S3,3
3,8, KAR-028,1, 07:24:54,52, s2, 20160328-000013_07_S1,2
4,8, KAR-028,2, 09:54:30,48, s2, 20160328-000013_07_S2,2
5,8, KAR-028,3, 11:25:01,61, s3, 20160328-000013_07_S3,3
6,7, KAR-047,1, 11:47:21,72, s2, 20160328-000013_06_S1,2
7,8, KAR-028,4, 14:07:54,60, s4, 20160328-000013_07_S4,4
8,1, KAR-004,1, 17:34:37,53, s5, 20160328-000013_00_S1,5
9,8, KAR-028,5, 18:08:00,60, s4, 20160328-000013_07_S5,4
10,12, KAR-023,1, 18:09:39,74, s5, 20160328-000013_11_S1,5
11,8, KAR-028,6, 21:16:34,72, s3, 20160328-000013_07_S6,3
12,8, KAR-028,7, 23:19:05,51, s3, 20160328-000013_07_S7,3
13,2, KAR-017,4, 23:27:22,61, bad camera, 20160328-000013_01_S4,-1
0,2, KAR-017,1, 00:05:18,62, Bad camera, 20160329-000008_01_S1,-1
1,2, KAR-017,2, 02:25:18,91, badcam, 20160329-000008_01_S2,-1
2,8, KAR-028,1, 05:40:28,47, s2, 20160329-000008_07_S1,2
3,2, KAR-017,3, 05:40:44,46, badcam, 20160329-000008_01_S3,-1
4,8, KAR-028,2, 08:11:26,49, s3, 20160329-000008_07_S2,3
5,2, KAR-017,4, 08:44:04,45, s3, 20160329-000008_01_S4,3
6,8, KAR-028,3, 09:34:51,67, s5, 20160329-000008_07_S3,5
7,11, KAR-048,1, 09:49:08,47, s5, 20160329-000008_10_S1,5
8,11, KAR-048,2, 09:52:36,31, s2, 20160329-000008_10_S2,2
9,2, KAR-017,5, 10:22:52,39, s3, 20160329-000008_01_S5,3
10,2, KAR-017,6, 10:54:26,69, s3, 20160329-000008_01_S6,3
11,7, KAR-047,1, 10:55:51,62, Nonconvulsive, 20160329-000008_06_S1,0
12,2, KAR-017,7, 12:27:43,46, s3, 20160329-000008_01_S7,3
13,2, KAR-017,8, 15:23:30,59, s2, 20160329-000008_01_S8,2
14,8, KAR-028,4, 19:56:38,67, s5, 20160329-000008_07_S4,5
15,2, KAR-017,9, 23:48:30,97, badcam, 20160329-000008_01_S9,-1
0,2, KAR-017,1, 03:37:58,66, badcam, 20160330-000013_01_S1,-1
0,2, KAR-017,1, 00:14:56,52, s1, 20160330-084916_01_S1,1
1,2, KAR-017,2, 00:48:41,70, s1, 20160330-084916_01_S2,1
0,6, KAR-017,1, 00:07:32,40, Nonconvulsive, 20160620-000013_05_S1,0
1,6, KAR-017,2, 00:17:32,49, Nonconvulsive, 20160620-000013_05_S2,0
2,6, KAR-017,3, 00:23:47,47, Nonconvulsive, 20160620-000013_05_S3,0
3,10, KAR-023,1, 00:40:39,46, s5, 20160620-000013_09_S1,5
4,10, KAR-023,2, 00:44:10,50, s5, 20160620-000013_09_S2,5
5,6, KAR-017,4, 00:45:08,43, Nonconvulsive, 20160620-000013_05_S4,0
6,6, KAR-017,5, 01:23:48,39, s5, 20160620-000013_05_S5,5
7,6, KAR-017,6, 01:50:39,43, s4, 20160620-000013_05_S6,4
8,10, KAR-023,3, 02:37:25,50, s5, 20160620-000013_09_S3,5
9,6, KAR-017,7, 02:58:33,53, Nonconvulsive, 20160620-000013_05_S7,0
10,7, KAR-028,1, 03:37:28,66, s4, 20160620-000013_06_S1,4
11,6, KAR-017,8, 04:19:28,41, Nonconvulsive, 20160620-000013_05_S8,0
12,10, KAR-023,5, 04:58:07,49, s5, 20160620-000013_09_S5,5
13,6, KAR-017,9, 05:01:15,41, Nonconvulsive, 20160620-000013_05_S9,0
14,7, KAR-028,2, 05:04:28,45, Nonconvulsive, 20160620-000013_06_S2,0
15,6, KAR-017,10, 05:46:56,55, Nonconvulsive, 20160620-000013_05_S10,0
16,6, KAR-017,11, 06:34:31,75, s4, 20160620-000013_05_S11,4
17,7, KAR-028,3, 06:51:23,48, s4, 20160620-000013_06_S3,4
18,11, KAR-030,1, 06:55:03,119, Nonconvulsive, 20160620-000013_10_S1,0
19,6, KAR-017,12, 07:15:04,48, s4, 20160620-000013_05_S12,4
20,1, KAR-021,1, 07:41:33,42, s4, 20160620-000013_00_S1,4
21,6, KAR-017,13, 08:15:33,35, s4, 20160620-000013_05_S13,4
22,10, KAR-023,6, 08:18:17,51, s4, 20160620-000013_09_S6,4
23,6, KAR-017,14, 09:11:43,51, s4, 20160620-000013_05_S14,4
24,6, KAR-017,15, 09:23:15,51, s4, 20160620-000013_05_S15,4
25,6, KAR-017,16, 09:25:38,63, s4, 20160620-000013_05_S16,4
26,11, KAR-030,2, 09:28:44,86, Nonconvulsive, 20160620-000013_10_S2,0
27,6, KAR-017,17, 09:30:15,64, s4, 20160620-000013_05_S17,4
28,7, KAR-028,4, 09:50:00,63, Nonconvulsive, 20160620-000013_06_S4,0
29,10, KAR-023,7, 09:53:14,50, s4, 20160620-000013_09_S7,4
30,11, KAR-030,3, 10:37:57,59, Nonconvulsive, 20160620-000013_10_S3,0
31,6, KAR-017,18, 10:38:24,41, Nonconvulsive, 20160620-000013_05_S18,0
32,7, KAR-028,5, 10:38:51,67, s3, 20160620-000013_06_S5,3
